_workspace/local-ai-assist/deck.pptx	_archive/2026-08-04-local-ai-assist-구덱/deck.pptx	구 조판본 19장 — 최종은 deckkit-v3/deck-final.pptx
_workspace/local-ai-assist/deck-preNav.pptx	_archive/2026-08-04-local-ai-assist-구덱/deck-preNav.pptx	부 내비 도입 전 중간본
_workspace/local-ai-assist/deck-render	_archive/2026-08-04-local-ai-assist-구덱/deck-render	구 조판본 렌더 19장
_workspace/local-ai-assist/deck.py	_archive/2026-08-04-local-ai-assist-구덱/deck.py	구 조판 코드 — 최종은 deckkit-v3/deck.py
_workspace/local-ai-assist/parts.py	_archive/2026-08-04-local-ai-assist-구덱/parts.py	구 로컬 부품
_workspace/local-ai-assist/sketch.py	_archive/2026-08-04-local-ai-assist-구덱/sketch.py	갤러리 이전 스케치
_workspace/local-ai-assist/relift.py	_archive/2026-08-04-local-ai-assist-구덱/relift.py	구 산출물을 results로 올리던 스크립트
_workspace/local-ai-assist/render	_archive/2026-08-04-local-ai-assist-구덱/render	gallery-render 중복본
_workspace/local-ai-assist/probe-render	_archive/2026-08-04-local-ai-assist-구덱/probe-render	S4 탐색 렌더
_workspace/local-ai-assist/probe-render-b	_archive/2026-08-04-local-ai-assist-구덱/probe-render-b	S4 탐색 렌더 b
_workspace/local-ai-assist/probe_s04.pptx	_archive/2026-08-04-local-ai-assist-구덱/probe_s04.pptx	S4 탐색본
_workspace/local-ai-assist/probe_s04.py	_archive/2026-08-04-local-ai-assist-구덱/probe_s04.py	S4 탐색 코드
_workspace/local-ai-assist/probe_s04b.pptx	_archive/2026-08-04-local-ai-assist-구덱/probe_s04b.pptx	S4 탐색본 b
_workspace/local-ai-assist/probe_s04b.py	_archive/2026-08-04-local-ai-assist-구덱/probe_s04b.py	S4 탐색 코드 b
_workspace/local-ai-assist/__pycache__	_archive/2026-08-04-local-ai-assist-구덱/__pycache__	캐시
